item,name,lat,lon,image
http://www.wikidata.org/entity/Q16678420,Музей гигиены,59.935719444444,30.337227777778,http://commons.wikimedia.org/wiki/Special:FilePath/Italianskaya%20Street%2025.jpg
http://www.wikidata.org/entity/Q215423,Исаакиевский собор,59.934047,30.30595,http://commons.wikimedia.org/wiki/Special:FilePath/%220%201629%20Isaac%27s%20Cathedral%20in%20Saint%20Petersburg.jpg
http://www.wikidata.org/entity/Q215423,Исаакиевский собор,59.934047,30.30595,http://commons.wikimedia.org/wiki/Special:FilePath/%2A00%204627%20Sankt%20Petersburg%2C%20Isaakskathedrale%20%28%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%29.jpg
http://www.wikidata.org/entity/Q215423,Исаакиевский собор,59.934047,30.30595,http://commons.wikimedia.org/wiki/Special:FilePath/00%204626%20Sankt%20Petersburg%20-%20Isaakskathedrale%20%28%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%29.jpg
http://www.wikidata.org/entity/Q55405638,Древлехранилище Александро-Невской Лавры,59.922143,30.388951,http://commons.wikimedia.org/wiki/Special:FilePath/136.%20St.%20Petersburg.%20Holy%20Duchov%20Corps%20of%20the%20Alexander%20Nevsky%20Lavra.jpg
http://www.wikidata.org/entity/Q4229523,Комендантский дом (Петропавловская крепость),59.9495,30.3168,http://commons.wikimedia.org/wiki/Special:FilePath/SPb%20Commandant%27sHouse3.jpg
http://www.wikidata.org/entity/Q51621152,Музей магистрального транспорта газа,55.58083,37.47639,http://commons.wikimedia.org/wiki/Special:FilePath/IMG%20Museum.jpg
http://www.wikidata.org/entity/Q18406552,Детский музей открытки,59.955,30.2959,http://commons.wikimedia.org/wiki/Special:FilePath/10dmo.jpg
http://www.wikidata.org/entity/Q60515420,Дом-музей Корнея Чуковского,55.65874,37.33074,http://commons.wikimedia.org/wiki/Special:FilePath/By%20pinnoke%20peredelkino%20dom%20chykovskogo-2.jpg
http://www.wikidata.org/entity/Q4504316,Центральный музей связи имени А. С. Попова,59.9326,30.302,http://commons.wikimedia.org/wiki/Special:FilePath/Central%20Telecommunications%20Museum.jpg
http://www.wikidata.org/entity/Q20894795,Музей российской фотографии,55.1068,38.7618,http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20of%20the%20Russian%20Photo%20%285%29.jpg
http://www.wikidata.org/entity/Q19911080,Санкт-Петербургский государственный музей театрального и музыкального искусства,59.931019444444,30.33675,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B2%D1%81%D1%91%20%281%29.JPG
http://www.wikidata.org/entity/Q60851335,Центр Гиляровского,55.76347,37.615322,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%92%D1%85%D0%BE%D0%B4%20%D0%B2%20%D0%A6%D0%B5%D0%BD%D1%82%D1%80%20%D0%93%D0%B8%D0%BB%D1%8F%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE.jpg
http://www.wikidata.org/entity/Q4232081,Конюшенный музей,59.940701,30.326333,http://commons.wikimedia.org/wiki/Special:FilePath/Konjushennyj%20museum.jpg
http://www.wikidata.org/entity/Q3146313,Особняк Кшесинской,59.954605555556,30.324583333333,http://commons.wikimedia.org/wiki/Special:FilePath/Mathilde%20Kschessinskaya%20Mansion.jpg
http://www.wikidata.org/entity/Q107315437,Музейный комплекс «Зоя»,55.493673,36.306405,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9C%D1%83%D0%B7%D0%B5%D0%B9%D0%BD%D1%8B%D0%B9%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81%20%22%D0%97%D0%BE%D1%8F%22%2015.jpg
http://www.wikidata.org/entity/Q107315437,Музейный комплекс «Зоя»,55.493673,36.306405,http://commons.wikimedia.org/wiki/Special:FilePath/Zoya%20Museum%20Complex%20%282021-06-21%29%2001.jpg
http://www.wikidata.org/entity/Q576071,Государственный музей городской скульптуры,59.922980555556,30.384647222222,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A6.%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D0%B2%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%9F%D1%80%D0%B5%D1%81%D0%B2%D1%8F%D1%82%D0%BE%D0%B9%20%D0%91%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%86%D1%8B.%D0%9B%D0%B0%D0%B2%D1%80%D0%B0.jpg
